subject,video,original_samples,source_sampling_rate_hz,analysis_sampling_rate_hz,preprocessing_mode
sub_20,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_20,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_20,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_20,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_20,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_20,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_20,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_20,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_20,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_21,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_21,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_21,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_21,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_21,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_21,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_21,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_21,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_21,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_21,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_21,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_22,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_22,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_22,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_22,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_22,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_22,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_22,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_22,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_22,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_22,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_22,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_23,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_23,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_23,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_23,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_23,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_23,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_23,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_23,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_23,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_23,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_23,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_24,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_24,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_24,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_24,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_24,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_24,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_24,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_24,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_24,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_24,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_24,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_25,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_25,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_25,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_25,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_25,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_25,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_25,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_25,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_25,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_25,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_25,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_26,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_26,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_26,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_26,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_26,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_26,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_26,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_26,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_26,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_26,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_26,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_27,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_27,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_27,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_27,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_27,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_27,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_27,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_27,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_27,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_27,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_27,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_28,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_28,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_28,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_28,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_28,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_28,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_28,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_28,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_28,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_28,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_28,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_29,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_29,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_29,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_29,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_29,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_29,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_29,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_29,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_29,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_29,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_29,12,120000,1000.0,1000.0,full_rate_no_subsampling
sub_30,1,185583,1000.0,1000.0,full_rate_no_subsampling
sub_30,2,173083,1000.0,1000.0,full_rate_no_subsampling
sub_30,3,118667,1000.0,1000.0,full_rate_no_subsampling
sub_30,4,160125,1000.0,1000.0,full_rate_no_subsampling
sub_30,5,145125,1000.0,1000.0,full_rate_no_subsampling
sub_30,6,146750,1000.0,1000.0,full_rate_no_subsampling
sub_30,7,197000,1000.0,1000.0,full_rate_no_subsampling
sub_30,8,143750,1000.0,1000.0,full_rate_no_subsampling
sub_30,10,101501,1000.0,1000.0,full_rate_no_subsampling
sub_30,11,960000,1000.0,1000.0,full_rate_no_subsampling
sub_30,12,120000,1000.0,1000.0,full_rate_no_subsampling
